main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Amino Acids	sc-215594	Santa Cruz Biotechnology		99715	HXFOXFJUNFFYMO-BYPYZUCNSA-N	N-Alpha-Acetyl-L-Asparagine	4033-40-3	C6H10N2O4	174.063396	175.071336	N/A	N/A	197.053166	N/A	N/A	173.055456	137.8704665	0.445559134	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	A5006	Sigma-Aldrich	C00062	6322	ODKSFYDXXFIFQN-BYPYZUCNSA-N	L-Arginine	74-79-3	C6H14N4O2	174.1116704	175.119495	137.87	0.75	197.1014404	N/A	N/A	173.1038458	138.24	0.15	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	920	Sigma-Aldrich	C01042	65065	OTCCIMWXFLJLIA-BYPYZUCNSA-N	N-Acetyl-L-aspartic acid	997-55-7	C6H9NO5	175.047406	176.055346	N/A	N/A	198.037176	143.7016432	0.20196488	174.039466	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	C7629	Sigma-Aldrich	C00327	9750	RHGKLRLOHDJJDR-BYPYZUCNSA-N	L-Citrulline	372-75-8	C6H13N3O3	175.0956868	176.1029628	N/A	N/A	198.0849048	N/A	N/A	174.179396	139.5125794	0.300023925	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	C7757	Sigma-Aldrich	C03727	193653	GBFLZEXEOZUWRN-VKHMYHEASA-N	S-Carboxymethyl-L-cysteine	638-23-3	C5H9NO4S	179.0252274	180.0312	141.1333333	0.108232775	202.0136	142.1333333	0.040620329	178.0181	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	M5379	Sigma-Aldrich	C03510	89034	SXTAYKAGBXMACB-DPVSGNNYSA-N	L-Methionine sulfoximine	15985-39-4	C5H12N2O3S	180.0568602	181.0631	139.3	0.124339613	203.0451	143.1	0.069881202	179.0499	141.2333333	0.414878353	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	T3754	Sigma-Aldrich	C00082	6057	OUYCCCASQSFEME-QMMMGPOBSA-N	L-Tyrosine	60-18-4	C9H11NO3	181.0738896	182.0817142	146.5500	0.06	204.0636596	N/A	N/A	180.066065	145.7500	0.23	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	855642	Sigma-Aldrich	C00624	70914	RFMMMVDNIPUKGG-YFKPBYRVSA-N	N-Acetyl-L-glutamate	1188-37-0	C7H11NO5	189.0637196	190.0699	139.0333333	0.166104129	212.0537	149.6333333	0.102084555	188.0566	139.6333333	0.041347596	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	S3132	Sigma-Aldrich	C05335	105024	RJFAYQIBOAGBLC-BYPYZUCNSA-N	L-Selenomethionine	3211-76-5	C5H11NO2Se	196.99484	198.00278	137.6693914	0.111552476	219.98461	N/A	N/A	195.9869	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	M0253	Sigma-Aldrich	C04771	3862	WZNJWVWKTVETCG-YFKPBYRVSA-N	L-Mimosine	500-44-7	C8H10N2O4	198.064054	199.07133	143.4670556	0.350385424	221.053272	N/A	N/A	197.056778	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
